# {'n':1000, 'M':3, 'N':2, 'f':[0,2], 'f_':[3,5], 'x':[6,7]}
27,0.226,0.233,2.110,0.226,0.233,0.769,0.226,0.233
28,0.774,0.307,-0.431,0.775,0.307,0.437,0.774,0.307
29,0.700,0.612,-1.598,0.700,0.612,0.285,0.700,0.612
30,0.848,0.657,-2.074,0.849,0.657,0.222,0.848,0.657
31,0.893,0.346,-0.983,0.893,0.346,0.365,0.893,0.346
32,0.236,0.606,0.432,0.236,0.606,0.550,0.236,0.606
33,0.097,0.238,2.653,0.096,0.237,0.839,0.097,0.238
34,0.134,0.122,2.972,0.134,0.121,0.881,0.134,0.122
35,0.160,0.261,2.284,0.160,0.261,0.791,0.160,0.261
36,0.616,0.929,-2.199,0.617,0.929,0.206,0.616,0.929
37,0.001,0.028,3.882,0.001,0.027,1.000,0.001,0.028
38,0.656,0.135,0.794,0.657,0.134,0.597,0.656,0.135
39,0.424,0.096,1.886,0.424,0.096,0.739,0.424,0.096
40,0.440,0.736,-1.009,0.440,0.737,0.361,0.440,0.736
41,0.531,0.925,-1.852,0.531,0.926,0.251,0.531,0.925
42,0.422,0.851,-1.168,0.422,0.852,0.341,0.422,0.851
43,0.129,0.832,0.149,0.128,0.833,0.513,0.129,0.832
44,0.277,0.957,-0.943,0.277,0.958,0.370,0.277,0.957
45,0.268,0.235,1.906,0.268,0.235,0.742,0.268,0.235
46,0.053,0.844,0.410,0.053,0.844,0.547,0.053,0.844
47,0.307,0.728,-0.307,0.307,0.728,0.453,0.307,0.728
48,0.724,0.438,-0.989,0.725,0.438,0.364,0.724,0.438
49,0.203,0.318,1.830,0.203,0.318,0.732,0.203,0.318
50,0.859,0.916,-3.103,0.860,0.917,0.088,0.859,0.916
51,0.509,0.175,1.141,0.509,0.175,0.642,0.509,0.175
52,0.579,0.961,-2.172,0.579,0.962,0.210,0.579,0.961
53,0.342,0.280,1.279,0.342,0.280,0.660,0.342,0.280
54,0.177,0.548,0.983,0.176,0.548,0.621,0.177,0.548
55,0.677,0.387,-0.671,0.678,0.387,0.406,0.677,0.387
56,0.606,0.170,0.807,0.607,0.169,0.599,0.606,0.170
57,0.212,0.757,0.070,0.212,0.758,0.502,0.212,0.757
58,0.355,0.027,2.467,0.355,0.026,0.815,0.355,0.027
59,0.167,0.808,0.084,0.166,0.809,0.504,0.167,0.808
60,0.111,0.857,0.122,0.111,0.858,0.509,0.111,0.857
61,0.572,0.490,-1.149,0.572,0.490,0.343,0.572,0.490
62,0.885,0.059,0.224,0.885,0.059,0.522,0.885,0.059
63,0.207,0.504,0.977,0.207,0.504,0.621,0.207,0.504
64,0.522,0.700,-1.333,0.522,0.700,0.319,0.522,0.700
65,0.951,0.792,-2.976,0.952,0.793,0.104,0.951,0.792
66,0.115,0.339,2.154,0.115,0.339,0.774,0.115,0.339
67,0.738,0.163,0.365,0.738,0.163,0.541,0.738,0.163
68,0.845,0.645,-2.023,0.846,0.646,0.229,0.845,0.645
69,0.613,0.205,0.592,0.613,0.205,0.570,0.613,0.205
70,0.110,0.674,0.840,0.110,0.674,0.603,0.110,0.674
71,0.545,0.165,1.055,0.546,0.165,0.631,0.545,0.165
72,0.719,0.859,-2.340,0.719,0.860,0.188,0.719,0.859
73,0.019,0.909,0.288,0.019,0.910,0.531,0.019,0.909
74,0.732,0.795,-2.167,0.732,0.795,0.210,0.732,0.795
75,0.303,0.368,0.993,0.303,0.368,0.623,0.303,0.368
76,0.329,0.381,0.742,0.329,0.381,0.590,0.329,0.381
77,0.312,0.608,-0.070,0.312,0.608,0.484,0.312,0.608
78,0.397,0.322,0.699,0.397,0.321,0.584,0.397,0.322
79,0.649,0.856,-2.069,0.649,0.857,0.223,0.649,0.856
80,0.630,0.884,-2.094,0.630,0.885,0.220,0.630,0.884
81,0.379,0.476,-0.155,0.379,0.476,0.473,0.379,0.476
82,0.557,0.023,1.673,0.557,0.022,0.712,0.557,0.023
83,0.988,0.610,-2.399,0.989,0.611,0.180,0.988,0.610
84,0.133,0.561,1.162,0.133,0.561,0.645,0.133,0.561
85,0.334,0.652,-0.307,0.334,0.652,0.453,0.334,0.652
86,0.416,0.684,-0.841,0.416,0.685,0.383,0.416,0.684
87,0.871,0.672,-2.206,0.871,0.672,0.205,0.871,0.672
88,0.910,0.624,-2.163,0.911,0.624,0.211,0.910,0.624
89,0.194,0.944,-0.557,0.194,0.945,0.420,0.194,0.944
90,0.460,0.317,0.400,0.460,0.316,0.545,0.460,0.317
91,0.098,0.073,3.315,0.098,0.072,0.926,0.098,0.073
92,0.975,0.245,-0.882,0.976,0.244,0.378,0.975,0.245
93,0.890,0.627,-2.105,0.891,0.628,0.218,0.890,0.627
94,0.811,0.168,0.068,0.812,0.167,0.502,0.811,0.168
95,0.704,0.182,0.397,0.705,0.182,0.545,0.704,0.182
96,0.786,0.188,0.077,0.787,0.187,0.503,0.786,0.188
97,0.004,0.184,3.247,0.004,0.184,0.917,0.004,0.184
98,0.340,0.407,0.506,0.340,0.407,0.559,0.340,0.407
99,0.503,0.407,-0.480,0.504,0.407,0.430,0.503,0.407
100,0.215,0.242,2.117,0.215,0.242,0.769,0.215,0.242
101,0.099,0.485,1.623,0.099,0.485,0.705,0.099,0.485
102,0.021,0.194,3.138,0.020,0.194,0.903,0.021,0.194
103,0.992,0.952,-3.777,0.993,0.953,0.000,0.992,0.952
104,0.151,0.210,2.541,0.150,0.210,0.825,0.151,0.210
105,0.864,0.782,-2.600,0.865,0.783,0.154,0.864,0.782
106,0.127,0.357,2.023,0.127,0.357,0.757,0.127,0.357
107,0.726,0.155,0.441,0.726,0.155,0.551,0.726,0.155
108,0.789,0.451,-1.141,0.790,0.451,0.344,0.789,0.451
109,0.211,0.035,3.012,0.211,0.035,0.886,0.211,0.035
110,0.683,0.345,-0.427,0.683,0.345,0.437,0.683,0.345
111,0.837,0.443,-1.216,0.837,0.443,0.334,0.837,0.443
112,0.508,0.818,-1.437,0.509,0.818,0.306,0.508,0.818
113,0.830,0.599,-1.811,0.831,0.600,0.257,0.830,0.599
114,0.418,0.173,1.535,0.418,0.172,0.694,0.418,0.173
115,0.882,0.074,0.176,0.883,0.073,0.516,0.882,0.074
116,0.052,0.434,2.041,0.052,0.434,0.760,0.052,0.434
117,0.350,0.860,-0.889,0.350,0.861,0.377,0.350,0.860
118,0.401,0.056,2.158,0.401,0.055,0.775,0.401,0.056
119,0.806,0.092,0.405,0.806,0.091,0.546,0.806,0.092
120,0.457,0.425,-0.392,0.458,0.425,0.442,0.457,0.425
121,0.083,0.620,1.164,0.083,0.621,0.645,0.083,0.620
122,0.485,0.053,1.828,0.485,0.053,0.732,0.485,0.053
123,0.305,0.159,2.098,0.305,0.159,0.767,0.305,0.159
124,0.471,0.774,-1.199,0.471,0.775,0.337,0.471,0.774
125,0.712,0.838,-2.240,0.712,0.838,0.201,0.712,0.838
126,0.294,0.886,-0.744,0.294,0.887,0.396,0.294,0.886
127,0.760,0.920,-2.727,0.761,0.920,0.137,0.760,0.920
128,0.707,0.138,0.590,0.708,0.137,0.570,0.707,0.138
129,0.272,0.810,-0.378,0.272,0.811,0.444,0.272,0.810
130,0.915,0.742,-2.638,0.916,0.742,0.149,0.915,0.742
131,0.281,0.594,0.182,0.280,0.595,0.517,0.281,0.594
132,0.504,0.108,1.506,0.504,0.107,0.690,0.504,0.108
133,0.864,0.449,-1.318,0.865,0.449,0.321,0.864,0.449
134,0.961,0.374,-1.348,0.961,0.374,0.317,0.961,0.374
135,0.815,0.928,-2.975,0.816,0.929,0.105,0.815,0.928
136,0.977,0.643,-2.484,0.977,0.643,0.169,0.977,0.643
137,0.596,0.933,-2.139,0.597,0.934,0.214,0.596,0.933
138,0.780,0.788,-2.311,0.781,0.788,0.191,0.780,0.788
139,0.921,0.791,-2.852,0.921,0.792,0.121,0.921,0.791
140,0.195,0.906,-0.413,0.195,0.907,0.439,0.195,0.906
141,0.382,0.223,1.420,0.382,0.223,0.679,0.382,0.223
142,0.358,0.785,-0.703,0.358,0.786,0.401,0.358,0.785
143,0.447,0.589,-0.954,0.448,0.590,0.369,0.447,0.589
144,0.198,0.328,1.807,0.198,0.328,0.729,0.198,0.328
145,0.437,0.437,-0.352,0.437,0.437,0.447,0.437,0.437
146,0.930,0.894,-3.299,0.931,0.895,0.062,0.930,0.894
147,0.404,0.017,2.307,0.405,0.016,0.794,0.404,0.017
148,0.067,0.588,1.360,0.067,0.588,0.671,0.067,0.588
149,0.998,0.889,-3.548,0.998,0.890,0.030,0.998,0.889
150,0.863,0.556,-1.743,0.863,0.557,0.265,0.863,0.556
151,0.184,0.022,3.174,0.184,0.021,0.908,0.184,0.022
152,0.955,0.383,-1.365,0.956,0.383,0.315,0.955,0.383
153,0.875,0.249,-0.514,0.876,0.249,0.426,0.875,0.249
154,0.454,0.475,-0.658,0.454,0.475,0.407,0.454,0.475
155,0.996,0.319,-1.260,0.996,0.318,0.329,0.996,0.319
156,0.517,0.150,1.247,0.517,0.150,0.656,0.517,0.150
157,0.961,0.336,-1.198,0.962,0.336,0.337,0.961,0.336
158,0.749,0.586,-1.590,0.750,0.586,0.285,0.749,0.586
159,0.412,0.472,-0.378,0.412,0.472,0.444,0.412,0.472
160,0.291,0.877,-0.698,0.291,0.878,0.402,0.291,0.877
161,0.802,0.623,-1.820,0.803,0.624,0.255,0.802,0.623
162,0.081,0.882,0.144,0.081,0.883,0.512,0.081,0.882
163,0.404,0.063,2.115,0.404,0.063,0.769,0.404,0.063
164,0.543,0.890,-1.780,0.544,0.891,0.261,0.543,0.890
165,0.426,0.018,2.214,0.427,0.017,0.782,0.426,0.018
166,0.207,0.991,-0.793,0.207,0.992,0.390,0.207,0.991
167,0.978,0.687,-2.665,0.978,0.688,0.145,0.978,0.687
168,0.499,0.171,1.203,0.500,0.171,0.650,0.499,0.171
169,0.492,0.037,1.869,0.492,0.037,0.737,0.492,0.037
170,0.111,0.914,-0.102,0.110,0.915,0.480,0.111,0.914
171,0.528,0.720,-1.367,0.528,0.721,0.315,0.528,0.720
172,0.599,0.020,1.515,0.600,0.019,0.691,0.599,0.020
173,0.055,0.215,2.919,0.054,0.214,0.874,0.055,0.215
174,0.246,0.450,0.954,0.246,0.450,0.618,0.246,0.450
175,0.686,0.721,-1.817,0.686,0.722,0.256,0.686,0.721
176,0.887,0.810,-2.797,0.888,0.811,0.128,0.887,0.810
177,0.219,0.050,2.919,0.219,0.050,0.874,0.219,0.050
178,0.883,0.997,-3.523,0.884,0.998,0.033,0.883,0.997
179,0.820,0.925,-2.983,0.821,0.926,0.104,0.820,0.925
180,0.169,0.413,1.576,0.169,0.413,0.699,0.169,0.413
181,0.585,0.528,-1.305,0.585,0.529,0.323,0.585,0.528
182,0.336,0.597,-0.218,0.336,0.597,0.465,0.336,0.597
183,0.400,0.617,-0.688,0.400,0.617,0.403,0.400,0.617
184,0.813,0.526,-1.492,0.813,0.526,0.298,0.813,0.526
185,0.822,0.428,-1.113,0.822,0.428,0.348,0.822,0.428
186,0.329,0.388,0.695,0.329,0.388,0.584,0.329,0.388
187,0.421,0.098,1.892,0.421,0.097,0.740,0.421,0.098
188,0.143,0.872,-0.067,0.143,0.873,0.484,0.143,0.872
189,0.739,0.750,-2.047,0.740,0.750,0.226,0.739,0.750
190,0.105,0.794,0.397,0.105,0.795,0.545,0.105,0.794
191,0.164,0.659,0.646,0.164,0.659,0.577,0.164,0.659
192,0.819,0.080,0.401,0.819,0.080,0.545,0.819,0.080
193,0.642,0.534,-1.357,0.643,0.534,0.316,0.642,0.534
194,0.751,0.908,-2.643,0.751,0.908,0.148,0.751,0.908
195,0.798,0.119,0.324,0.799,0.118,0.535,0.798,0.119
196,0.450,0.667,-1.011,0.450,0.668,0.361,0.450,0.667
197,0.651,0.767,-1.825,0.652,0.768,0.255,0.651,0.767
198,0.926,0.090,-0.066,0.927,0.090,0.484,0.926,0.090
199,0.344,0.852,-0.836,0.344,0.853,0.384,0.344,0.852
200,0.343,0.579,-0.228,0.343,0.579,0.463,0.343,0.579
201,0.728,0.815,-2.221,0.729,0.816,0.203,0.728,0.815
202,0.426,0.225,1.196,0.426,0.225,0.649,0.426,0.225
203,0.299,0.639,-0.053,0.299,0.639,0.486,0.299,0.639
204,0.766,0.591,-1.633,0.767,0.591,0.280,0.766,0.591
205,0.846,0.314,-0.685,0.847,0.314,0.404,0.846,0.314
206,0.470,0.606,-1.087,0.470,0.606,0.351,0.470,0.606
207,0.592,0.969,-2.253,0.592,0.970,0.199,0.592,0.969
208,0.278,0.294,1.550,0.278,0.294,0.696,0.278,0.294
209,0.069,0.784,0.583,0.068,0.785,0.569,0.069,0.784
210,0.482,0.186,1.189,0.482,0.186,0.648,0.482,0.186
211,0.086,0.360,2.195,0.086,0.360,0.780,0.086,0.360
212,0.982,0.258,-0.965,0.983,0.258,0.367,0.982,0.258
213,0.886,0.077,0.145,0.887,0.077,0.512,0.886,0.077
214,0.028,0.813,0.635,0.028,0.813,0.576,0.028,0.813
215,0.575,0.987,-2.254,0.575,0.988,0.199,0.575,0.987
216,0.567,0.162,0.991,0.567,0.162,0.623,0.567,0.162
217,0.360,0.941,-1.218,0.360,0.942,0.334,0.360,0.941
218,0.109,0.060,3.324,0.108,0.060,0.927,0.109,0.060
219,0.461,0.090,1.762,0.462,0.089,0.723,0.461,0.090
220,0.665,0.221,0.331,0.666,0.221,0.536,0.665,0.221
221,0.872,0.703,-2.328,0.873,0.704,0.189,0.872,0.703
222,0.791,0.631,-1.820,0.792,0.632,0.255,0.791,0.631
223,0.368,0.061,2.270,0.368,0.061,0.789,0.368,0.061
224,0.839,0.947,-3.143,0.839,0.948,0.083,0.839,0.947
225,0.441,0.274,0.803,0.442,0.274,0.598,0.441,0.274
226,0.759,0.324,-0.474,0.760,0.324,0.431,0.759,0.324
227,0.245,0.457,0.932,0.245,0.457,0.615,0.245,0.457
228,0.022,0.283,2.776,0.022,0.283,0.856,0.022,0.283
229,0.556,0.681,-1.435,0.556,0.682,0.306,0.556,0.681
230,0.851,0.837,-2.760,0.852,0.837,0.133,0.851,0.837
231,0.137,0.801,0.236,0.137,0.802,0.524,0.137,0.801
232,0.137,0.417,1.721,0.137,0.417,0.718,0.137,0.417
233,0.832,0.591,-1.786,0.833,0.591,0.260,0.832,0.591
234,0.747,0.943,-2.766,0.748,0.943,0.132,0.747,0.943
235,0.209,0.230,2.202,0.209,0.229,0.781,0.209,0.230
236,0.482,0.244,0.827,0.483,0.244,0.601,0.482,0.244
237,0.149,0.466,1.453,0.149,0.467,0.683,0.149,0.466
238,0.223,0.764,0.001,0.223,0.764,0.493,0.223,0.764
239,0.476,0.417,-0.434,0.476,0.417,0.437,0.476,0.417
240,0.299,0.128,2.264,0.299,0.127,0.789,0.299,0.128
241,0.202,0.938,-0.560,0.201,0.938,0.420,0.202,0.938
242,0.261,0.107,2.515,0.261,0.106,0.822,0.261,0.107
243,0.569,0.525,-1.273,0.569,0.525,0.327,0.569,0.525
244,0.687,0.623,-1.607,0.688,0.623,0.283,0.687,0.623
245,0.415,0.245,1.121,0.415,0.245,0.640,0.415,0.245
246,0.296,0.354,1.118,0.296,0.354,0.639,0.296,0.354
247,0.868,0.140,-0.037,0.869,0.139,0.488,0.868,0.140
248,0.530,0.614,-1.332,0.530,0.615,0.319,0.530,0.614
249,0.144,0.630,0.846,0.144,0.631,0.604,0.144,0.630
250,0.936,0.464,-1.623,0.937,0.464,0.281,0.936,0.464
251,0.541,0.844,-1.632,0.542,0.845,0.280,0.541,0.844
252,0.710,0.260,-0.012,0.710,0.260,0.492,0.710,0.260
253,0.511,0.550,-1.192,0.511,0.550,0.337,0.511,0.550
254,0.520,0.988,-2.041,0.520,0.989,0.227,0.520,0.988
255,0.539,0.297,0.226,0.540,0.297,0.523,0.539,0.297
256,0.842,0.448,-1.250,0.842,0.448,0.330,0.842,0.448
257,0.525,0.601,-1.308,0.525,0.601,0.322,0.525,0.601
258,0.790,0.441,-1.100,0.791,0.441,0.349,0.790,0.441
259,0.561,0.058,1.504,0.562,0.058,0.689,0.561,0.058
260,0.172,0.433,1.473,0.172,0.433,0.685,0.172,0.433
261,0.517,0.399,-0.474,0.517,0.399,0.431,0.517,0.399
262,0.317,0.232,1.682,0.317,0.232,0.713,0.317,0.232
263,0.046,0.124,3.321,0.045,0.124,0.927,0.046,0.124
264,0.304,0.455,0.519,0.304,0.455,0.561,0.304,0.455
265,0.362,0.116,2.052,0.362,0.116,0.761,0.362,0.116
266,0.581,0.426,-0.816,0.581,0.427,0.387,0.581,0.426
267,0.674,0.498,-1.234,0.675,0.498,0.332,0.674,0.498
268,0.186,0.053,3.043,0.186,0.052,0.890,0.186,0.053
269,0.623,0.557,-1.413,0.624,0.558,0.309,0.623,0.557
270,0.595,0.851,-1.856,0.596,0.852,0.251,0.595,0.851
271,0.491,0.885,-1.556,0.491,0.886,0.290,0.491,0.885
272,0.360,0.327,0.883,0.360,0.327,0.608,0.360,0.327
273,0.498,0.763,-1.295,0.498,0.763,0.324,0.498,0.763
274,0.527,0.454,-0.869,0.527,0.454,0.380,0.527,0.454
275,0.582,0.978,-2.250,0.582,0.979,0.199,0.582,0.978
276,0.192,0.039,3.074,0.191,0.039,0.894,0.192,0.039
277,0.250,0.443,0.958,0.250,0.444,0.618,0.250,0.443
278,0.000,0.406,2.370,0.000,0.406,0.803,0.000,0.406
279,0.862,0.191,-0.221,0.863,0.190,0.464,0.862,0.191
280,0.012,0.614,1.491,0.012,0.614,0.688,0.012,0.614
281,0.889,0.581,-1.924,0.890,0.582,0.242,0.889,0.581
282,0.364,0.665,-0.514,0.364,0.665,0.426,0.364,0.665
283,0.621,0.144,0.878,0.622,0.144,0.608,0.621,0.144
284,0.969,0.251,-0.883,0.970,0.250,0.378,0.969,0.251
285,0.113,0.070,3.264,0.113,0.070,0.919,0.113,0.070
286,0.047,0.574,1.498,0.047,0.575,0.689,0.047,0.574
287,0.965,0.516,-1.939,0.966,0.516,0.240,0.965,0.516
288,0.627,0.636,-1.553,0.628,0.636,0.290,0.627,0.636
289,0.065,0.949,-0.056,0.064,0.950,0.486,0.065,0.949
290,0.407,0.758,-0.883,0.407,0.759,0.378,0.407,0.758
291,0.603,0.497,-1.209,0.603,0.497,0.335,0.603,0.497
292,0.062,0.569,1.457,0.062,0.569,0.683,0.062,0.569
293,0.635,0.205,0.521,0.635,0.204,0.561,0.635,0.205
294,0.270,0.940,-0.848,0.270,0.941,0.382,0.270,0.940
295,0.154,0.141,2.813,0.153,0.141,0.860,0.154,0.141
296,0.928,0.823,-3.010,0.929,0.824,0.100,0.928,0.823
297,0.241,0.461,0.939,0.241,0.461,0.616,0.241,0.461
298,0.878,0.400,-1.159,0.879,0.400,0.342,0.878,0.400
299,0.810,0.492,-1.354,0.811,0.492,0.316,0.810,0.492
300,0.896,0.564,-1.883,0.897,0.565,0.247,0.896,0.564
301,0.151,0.694,0.580,0.151,0.694,0.569,0.151,0.694
302,0.746,0.663,-1.810,0.746,0.663,0.257,0.746,0.663
303,0.971,0.044,-0.060,0.972,0.043,0.485,0.971,0.044
304,0.019,0.869,0.450,0.018,0.869,0.552,0.019,0.869
305,0.243,0.113,2.563,0.243,0.113,0.828,0.243,0.113
306,0.383,0.814,-0.894,0.383,0.814,0.376,0.383,0.814
307,0.370,0.629,-0.510,0.371,0.629,0.427,0.370,0.629
308,0.526,0.357,-0.186,0.526,0.357,0.469,0.526,0.357
309,0.027,0.478,1.968,0.027,0.478,0.750,0.027,0.478
310,0.478,0.228,0.950,0.478,0.228,0.617,0.478,0.228
311,0.463,0.538,-0.951,0.464,0.538,0.369,0.463,0.538
312,0.296,0.335,1.218,0.296,0.335,0.652,0.296,0.335
313,0.523,0.806,-1.470,0.524,0.807,0.301,0.523,0.806
314,0.341,0.337,0.936,0.341,0.337,0.615,0.341,0.337
315,0.625,0.455,-1.025,0.625,0.456,0.359,0.625,0.455
316,0.243,0.021,2.941,0.243,0.020,0.877,0.243,0.021
317,0.030,0.286,2.732,0.029,0.286,0.850,0.030,0.286
318,0.056,0.394,2.183,0.056,0.394,0.778,0.056,0.394
319,0.308,0.723,-0.298,0.308,0.724,0.454,0.308,0.723
320,0.839,0.677,-2.121,0.840,0.678,0.216,0.839,0.677
321,0.735,0.489,-1.228,0.735,0.490,0.333,0.735,0.489
322,0.209,0.865,-0.308,0.208,0.866,0.453,0.209,0.865
323,0.740,0.717,-1.953,0.741,0.718,0.238,0.740,0.717
324,0.473,0.805,-1.267,0.474,0.806,0.328,0.473,0.805
325,0.447,0.470,-0.597,0.447,0.470,0.415,0.447,0.470
326,0.597,0.119,1.089,0.597,0.119,0.635,0.597,0.119
327,0.984,0.044,-0.113,0.985,0.044,0.478,0.984,0.044
328,0.240,0.768,-0.093,0.240,0.769,0.481,0.240,0.768
329,0.176,0.818,0.009,0.176,0.819,0.494,0.176,0.818
330,0.383,0.650,-0.617,0.383,0.650,0.413,0.383,0.650
331,0.618,0.033,1.383,0.619,0.033,0.674,0.618,0.033
332,0.224,0.241,2.084,0.224,0.240,0.765,0.224,0.241
333,0.929,0.355,-1.152,0.930,0.355,0.343,0.929,0.355
334,0.247,0.644,0.250,0.247,0.644,0.526,0.247,0.644
335,0.938,0.835,-3.094,0.939,0.835,0.089,0.938,0.835
336,0.262,0.057,2.720,0.262,0.056,0.848,0.262,0.057
337,0.979,0.516,-1.988,0.979,0.516,0.234,0.979,0.516
338,0.672,0.248,0.168,0.672,0.247,0.515,0.672,0.248
339,0.162,0.014,3.294,0.162,0.013,0.923,0.162,0.014
340,0.748,0.420,-0.931,0.749,0.420,0.372,0.748,0.420
341,0.592,0.876,-1.921,0.592,0.876,0.242,0.592,0.876
342,0.931,0.580,-2.066,0.932,0.580,0.223,0.931,0.580
343,0.833,0.532,-1.567,0.834,0.532,0.289,0.833,0.532
344,0.230,0.217,2.167,0.230,0.217,0.776,0.230,0.217
345,0.608,0.691,-1.578,0.609,0.691,0.287,0.608,0.691
346,0.914,0.156,-0.284,0.914,0.156,0.456,0.914,0.156
347,0.706,0.383,-0.681,0.707,0.383,0.404,0.706,0.383
348,0.985,0.957,-3.767,0.986,0.957,0.001,0.985,0.957
349,0.285,0.358,1.164,0.285,0.358,0.645,0.285,0.358
350,0.788,0.173,0.133,0.788,0.173,0.510,0.788,0.173
351,0.101,0.278,2.470,0.100,0.278,0.816,0.101,0.278
352,0.573,0.644,-1.463,0.574,0.645,0.302,0.573,0.644
353,0.276,0.878,-0.638,0.276,0.879,0.410,0.276,0.878
354,0.115,0.370,2.025,0.114,0.370,0.758,0.115,0.370
355,0.338,0.165,1.925,0.338,0.164,0.744,0.338,0.165
356,0.713,0.554,-1.447,0.714,0.554,0.304,0.713,0.554
357,0.264,0.105,2.512,0.264,0.104,0.821,0.264,0.105
358,0.632,0.728,-1.689,0.632,0.729,0.273,0.632,0.728
359,0.710,0.635,-1.668,0.711,0.635,0.275,0.710,0.635
360,0.934,0.179,-0.454,0.934,0.179,0.434,0.934,0.179
361,0.004,0.939,0.227,0.004,0.940,0.523,0.004,0.939
362,0.309,0.799,-0.512,0.309,0.800,0.426,0.309,0.799
363,0.601,0.854,-1.889,0.602,0.855,0.247,0.601,0.854
364,0.501,0.932,-1.757,0.501,0.933,0.264,0.501,0.932
365,0.038,0.632,1.307,0.038,0.633,0.664,0.038,0.632
366,0.654,0.686,-1.670,0.654,0.686,0.275,0.654,0.686
367,0.266,0.440,0.866,0.266,0.440,0.606,0.266,0.440
368,0.217,0.926,-0.580,0.217,0.927,0.417,0.217,0.926
369,0.999,0.921,-3.679,1.000,0.922,0.013,0.999,0.921
370,0.673,0.323,-0.277,0.673,0.323,0.457,0.673,0.323
371,0.030,0.573,1.579,0.030,0.573,0.699,0.030,0.573
372,0.190,0.124,2.738,0.189,0.124,0.851,0.190,0.124
373,0.611,0.683,-1.575,0.611,0.683,0.287,0.611,0.683
374,0.006,0.560,1.729,0.005,0.560,0.719,0.006,0.560
375,0.366,0.511,-0.200,0.366,0.511,0.467,0.366,0.511
376,0.022,0.130,3.393,0.021,0.130,0.936,0.022,0.130
377,0.293,0.565,0.178,0.293,0.566,0.516,0.293,0.565
378,0.234,0.489,0.868,0.234,0.489,0.606,0.234,0.489
379,0.191,0.463,1.241,0.191,0.463,0.655,0.191,0.463
380,0.702,0.840,-2.212,0.703,0.840,0.204,0.702,0.840
381,0.304,0.917,-0.897,0.304,0.918,0.376,0.304,0.917
382,0.664,0.221,0.339,0.664,0.220,0.537,0.664,0.221
383,0.552,0.150,1.111,0.552,0.150,0.638,0.552,0.150
384,0.476,0.603,-1.117,0.477,0.604,0.347,0.476,0.603
385,0.390,0.598,-0.597,0.390,0.599,0.415,0.390,0.598
386,0.721,0.450,-1.044,0.722,0.450,0.357,0.721,0.450
387,0.856,0.296,-0.645,0.857,0.296,0.409,0.856,0.296
388,0.838,0.707,-2.221,0.838,0.707,0.203,0.838,0.707
389,0.124,0.988,-0.448,0.124,0.989,0.435,0.124,0.988
390,0.014,0.680,1.219,0.014,0.680,0.652,0.014,0.680
391,0.553,0.735,-1.463,0.553,0.735,0.302,0.553,0.735
392,0.932,0.395,-1.329,0.933,0.395,0.320,0.932,0.395
393,0.433,0.096,1.852,0.433,0.095,0.735,0.433,0.096
394,0.997,0.003,-0.000,0.998,0.003,0.493,0.997,0.003
395,0.073,0.911,0.064,0.073,0.911,0.501,0.073,0.911
396,0.753,0.410,-0.887,0.754,0.410,0.377,0.753,0.410
397,0.570,0.345,-0.224,0.571,0.345,0.464,0.570,0.345
398,0.429,0.164,1.535,0.429,0.164,0.694,0.429,0.164
399,0.217,0.573,0.660,0.217,0.573,0.579,0.217,0.573
400,0.354,0.002,2.572,0.354,0.001,0.829,0.354,0.002
401,0.438,0.482,-0.602,0.438,0.482,0.414,0.438,0.482
